"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64"
"bad",-0.856484994986389,-0.105594040477774,-0.105594040477774,-0.105594040477774,2.89796977755668,-0.105594040477774,-0.105594040477774,-0.105594040477774,0.645296914030841,0.645296914030841,-0.856484994986389,-0.856484994986389,-0.856484994986389,1.39618786853946,-0.856484994986389,-0.105594040477774,-0.105594040477774,-0.856484994986389,-0.856484994986389,-0.105594040477774,-0.856484994986389,-0.856484994986389,0.645296914030841,0.645296914030841,-0.856484994986389,-0.856484994986389,2.14707882304807,-0.856484994986389,-0.856484994986389,-0.105594040477774,0.645296914030841,2.89796977755668,2.89796977755668,0.645296914030841,-0.105594040477774,-0.105594040477774,-0.856484994986389,-0.105594040477774,-0.856484994986389,-0.856484994986389,-0.105594040477774,-0.105594040477774,-0.856484994986389,-0.856484994986389,-0.105594040477774,-0.105594040477774,2.14707882304807,-0.856484994986389,-0.105594040477774,0.645296914030841,0.645296914030841,-0.105594040477774,-0.105594040477774,1.39618786853946,0.645296914030841,-0.856484994986389,-0.856484994986389,-0.856484994986389,-0.856484994986389,-0.856484994986389,0.645296914030841,1.39618786853946,-0.105594040477774,-0.856484994986389
"air",-1.25316144645111,1.23373258681621,-0.631437938134281,-0.00971442981745047,-0.631437938134281,-0.631437938134281,-1.25316144645111,-0.631437938134281,-0.631437938134281,1.23373258681621,-0.631437938134281,0.61200907849938,-0.00971442981745047,-0.631437938134281,1.23373258681621,-0.00971442981745047,0.61200907849938,-1.25316144645111,1.23373258681621,-0.00971442981745047,-1.25316144645111,0.61200907849938,-0.00971442981745047,1.85545609513304,1.23373258681621,-0.00971442981745047,-0.631437938134281,-0.631437938134281,-1.25316144645111,1.23373258681621,0.61200907849938,-1.25316144645111,-0.00971442981745047,-0.631437938134281,1.23373258681621,0.61200907849938,-0.631437938134281,-1.25316144645111,3.0989031117667,-0.00971442981745047,0.61200907849938,1.23373258681621,-0.631437938134281,-0.00971442981745047,-0.631437938134281,-0.631437938134281,-0.00971442981745047,-0.00971442981745047,2.47717960344987,-0.631437938134281,-0.631437938134281,1.85545609513304,0.61200907849938,0.61200907849938,-1.25316144645111,-1.25316144645111,0.61200907849938,-0.00971442981745047,0.61200907849938,-0.00971442981745047,-1.25316144645111,-1.25316144645111,-0.631437938134281,-0.631437938134281
"boy",-0.292820950872386,0.999630142633318,-0.292820950872386,1.64585568938617,0.999630142633318,1.64585568938617,3.90764510302115,0.353404595880466,1.64585568938617,0.03029182250404,-0.615933724248812,0.03029182250404,0.03029182250404,-0.615933724248812,0.353404595880466,2.93830678289187,0.999630142633318,0.03029182250404,-0.292820950872386,1.64585568938617,0.03029182250404,-0.292820950872386,-0.615933724248812,0.353404595880466,-0.292820950872386,0.03029182250404,-0.615933724248812,-0.939046497625238,-0.939046497625238,-0.615933724248812,-0.615933724248812,-0.615933724248812,-0.292820950872386,-0.939046497625238,-0.939046497625238,-0.615933724248812,0.03029182250404,-0.615933724248812,-0.292820950872386,-0.292820950872386,-0.615933724248812,-0.615933724248812,-0.939046497625238,-0.615933724248812,-0.615933724248812,-0.292820950872386,0.999630142633318,1.9689684627626,-0.939046497625238,-0.939046497625238,0.676517369256892,-0.939046497625238,-0.939046497625238,0.03029182250404,-0.939046497625238,1.64585568938617,-0.615933724248812,-0.615933724248812,0.03029182250404,0.353404595880466,-0.292820950872386,-0.292820950872386,-0.615933724248812,-0.939046497625238
"beautiful",-0.0390325282695426,0.793661408147366,0.793661408147366,-0.871726464686451,-0.0390325282695426,-0.871726464686451,-0.871726464686451,-0.871726464686451,-0.0390325282695426,1.62635534456427,-0.0390325282695426,-0.871726464686451,-0.871726464686451,-0.0390325282695426,-0.0390325282695426,-0.0390325282695426,-0.0390325282695426,-0.0390325282695426,1.62635534456427,0.793661408147366,-0.0390325282695426,-0.871726464686451,-0.0390325282695426,-0.871726464686451,-0.871726464686451,-0.871726464686451,0.793661408147366,0.793661408147366,0.793661408147366,-0.871726464686451,-0.871726464686451,-0.871726464686451,-0.871726464686451,-0.871726464686451,-0.871726464686451,4.124437153815,-0.0390325282695426,0.793661408147366,-0.871726464686451,0.793661408147366,-0.0390325282695426,-0.871726464686451,-0.0390325282695426,-0.0390325282695426,1.62635534456427,2.45904928098118,-0.0390325282695426,0.793661408147366,-0.871726464686451,-0.871726464686451,-0.871726464686451,-0.871726464686451,-0.0390325282695426,-0.871726464686451,-0.871726464686451,1.62635534456427,-0.871726464686451,-0.0390325282695426,0.793661408147366,-0.871726464686451,1.62635534456427,0.793661408147366,-0.0390325282695426,-0.0390325282695426
"black",-0.705095093522208,3.80751350501992,0.987133130931091,2.11528528056662,-0.705095093522208,0.987133130931091,-0.705095093522208,0.423057056113325,-0.705095093522208,4.37158957983769,-0.705095093522208,1.55120920574886,-0.141019018704442,-0.141019018704442,-0.705095093522208,-0.141019018704442,1.55120920574886,-0.141019018704442,-0.705095093522208,0.423057056113325,-0.705095093522208,0.423057056113325,-0.141019018704442,-0.141019018704442,-0.141019018704442,0.423057056113325,-0.705095093522208,1.55120920574886,-0.141019018704442,-0.141019018704442,-0.705095093522208,-0.141019018704442,-0.141019018704442,-0.705095093522208,0.423057056113325,-0.705095093522208,-0.141019018704442,-0.705095093522208,-0.705095093522208,-0.705095093522208,0.987133130931091,-0.705095093522208,-0.705095093522208,0.423057056113325,-0.705095093522208,-0.141019018704442,-0.705095093522208,-0.705095093522208,-0.141019018704442,-0.705095093522208,-0.705095093522208,-0.141019018704442,0.423057056113325,-0.141019018704442,-0.705095093522208,-0.141019018704442,-0.705095093522208,-0.141019018704442,0.423057056113325,-0.141019018704442,-0.705095093522208,-0.705095093522208,-0.141019018704442,-0.141019018704442
"face",-0.776340909292896,0.784470133473973,-0.516205735498417,0.264199785885017,-0.776340909292896,-0.516205735498417,-1.03647608308737,0.264199785885017,1.04460530726845,-0.776340909292896,0.784470133473973,-0.776340909292896,-1.29661125688185,-0.516205735498417,0.524334959679495,0.784470133473973,1.04460530726845,-1.03647608308737,-0.256070561703939,0.00406461209053872,1.30474048106293,-0.256070561703939,1.82501082865189,1.04460530726845,2.08514600244636,-1.29661125688185,-0.776340909292896,-0.256070561703939,-1.55674643067633,-1.03647608308737,-1.03647608308737,0.524334959679495,1.04460530726845,1.04460530726845,0.784470133473973,-1.29661125688185,-1.03647608308737,1.04460530726845,-0.776340909292896,-0.516205735498417,-0.516205735498417,0.524334959679495,2.60541635003532,-0.516205735498417,0.524334959679495,0.524334959679495,0.00406461209053872,0.524334959679495,0.784470133473973,0.524334959679495,-1.29661125688185,-0.256070561703939,2.08514600244636,-0.776340909292896,-0.256070561703939,0.264199785885017,-0.516205735498417,0.784470133473973,-1.03647608308737,-1.81688160447081,-0.776340909292896,-0.516205735498417,1.82501082865189,-0.776340909292896
"letter",-0.872338173869298,-0.872338173869298,-0.872338173869298,-0.872338173869298,0.406203271801734,-0.872338173869298,-0.0199772100886099,-0.446157691978954,0.406203271801734,-0.446157691978954,-0.872338173869298,-0.0199772100886099,-0.0199772100886099,-0.872338173869298,-0.446157691978954,0.406203271801734,-0.872338173869298,-0.872338173869298,0.406203271801734,-0.446157691978954,1.68474471747277,-0.446157691978954,-0.872338173869298,-0.446157691978954,0.406203271801734,-0.0199772100886099,1.25856423558242,-0.872338173869298,-0.872338173869298,-0.872338173869298,-0.0199772100886099,-0.0199772100886099,-0.0199772100886099,-0.446157691978954,0.406203271801734,1.25856423558242,-0.872338173869298,-0.0199772100886099,0.832383753692078,-0.0199772100886099,1.25856423558242,0.832383753692078,1.25856423558242,3.81564712692449,-0.872338173869298,-0.0199772100886099,-0.872338173869298,-0.872338173869298,-0.446157691978954,-0.872338173869298,0.406203271801734,2.53710568125345,-0.872338173869298,0.406203271801734,2.9632861631438,-0.446157691978954,1.25856423558242,-0.446157691978954,-0.446157691978954,1.25856423558242,-0.872338173869298,-0.0199772100886099,-0.872338173869298,-0.0199772100886099
"little",-0.615453839306364,0.10949792233058,2.16352791363525,-1.09875501373099,-0.252977958487892,0.230323215936737,-0.252977958487892,-0.373803252094049,-0.252977958487892,1.55940144560447,2.8884796752722,-0.0113273712755772,-0.0113273712755772,-0.252977958487892,-0.615453839306364,-0.615453839306364,-0.494628545700207,-0.494628545700207,-0.0113273712755772,-0.132152664881735,-0.857104426518679,-0.494628545700207,2.0427026200291,1.55940144560447,1.68022673921063,0.471973803149052,-0.615453839306364,-1.46123089454947,0.10949792233058,-0.252977958487892,-0.494628545700207,0.713624390361367,1.07610027117984,1.196925564786,0.10949792233058,0.10949792233058,-0.494628545700207,0.351148509542895,-0.977929720124836,1.68022673921063,-0.132152664881735,-0.494628545700207,-0.132152664881735,1.196925564786,0.10949792233058,0.351148509542895,2.16352791363525,-0.615453839306364,-0.252977958487892,-1.21958030733715,0.955274977573681,-1.09875501373099,-0.736279132912521,1.07610027117984,-1.82370677536794,-0.736279132912521,-0.977929720124836,-1.21958030733715,-0.373803252094049,-0.857104426518679,0.834449683967524,-0.494628545700207,-0.977929720124836,-1.46123089454947
"young",-0.60380736442456,-1.08685325596421,-0.60380736442456,-0.845330310194384,-0.60380736442456,0.362284418654736,1.08685325596421,-0.120761472884912,-0.362284418654736,1.81142209327368,-0.60380736442456,2.77751387635298,-0.60380736442456,3.50208271366245,-0.845330310194384,0.120761472884912,0.60380736442456,0.120761472884912,0.60380736442456,2.53599093058315,0.60380736442456,0.60380736442456,-0.120761472884912,0.120761472884912,0.362284418654736,-0.362284418654736,0.845330310194384,0.60380736442456,-0.845330310194384,1.81142209327368,-0.120761472884912,-0.845330310194384,-0.60380736442456,0.845330310194384,-0.362284418654736,0.60380736442456,-0.60380736442456,-0.60380736442456,0.60380736442456,-1.08685325596421,-0.120761472884912,-0.120761472884912,-0.845330310194384,0.120761472884912,-0.60380736442456,-0.60380736442456,-0.362284418654736,0.120761472884912,2.29446798481333,-1.08685325596421,-0.845330310194384,-0.845330310194384,0.60380736442456,-0.60380736442456,-1.08685325596421,0.120761472884912,-1.08685325596421,-0.845330310194384,-0.845330310194384,-0.60380736442456,-0.362284418654736,0.362284418654736,-0.362284418654736,-1.08685325596421
"best",-0.246578811458602,0.470741367330059,-0.963898990247263,-0.246578811458602,-1.68121916903592,-0.246578811458602,-0.246578811458602,-0.246578811458602,1.90538172490738,0.470741367330059,0.470741367330059,1.90538172490738,-1.68121916903592,1.18806154611872,0.470741367330059,1.18806154611872,1.90538172490738,-0.963898990247263,-0.963898990247263,-0.246578811458602,1.90538172490738,-1.68121916903592,-0.246578811458602,-0.963898990247263,-0.246578811458602,-0.963898990247263,-0.963898990247263,1.18806154611872,1.90538172490738,0.470741367330059,0.470741367330059,1.18806154611872,-0.963898990247263,-0.963898990247263,-0.963898990247263,0.470741367330059,1.18806154611872,0.470741367330059,-1.68121916903592,1.18806154611872,0.470741367330059,-0.246578811458602,0.470741367330059,0.470741367330059,1.18806154611872,-0.963898990247263,-0.963898990247263,0.470741367330059,-0.246578811458602,-0.963898990247263,0.470741367330059,0.470741367330059,-0.246578811458602,0.470741367330059,1.18806154611872,-0.963898990247263,-0.246578811458602,-0.246578811458602,-1.68121916903592,-1.68121916903592,-0.246578811458602,0.470741367330059,-0.246578811458602,-0.246578811458602
